"visit_type_id","name","description","uuid","creator","date_created","changed_by","date_changed","retired","retired_by","date_retired","retire_reason"
"1","SEGUIMENTO PTV","Visita de seguimento no serviço de PTV","056a9354-320f-4b12-9db3-187e12e20b76","1","2013-01-10 09:53:18","1","2013-01-18 16:46:59","0",,,
"2","ABERTURA DE PROCESSO TB","Visita de abertura de processo no serviço de TB","26690ee5-b451-4850-b41e-41a7c87b31e9","1","2013-01-10 09:54:07","1","2013-01-18 16:46:59","0",,,
"3","SEGUIMENTO SEGUINTE S. TARV","Visita seguinte de seguimento","3866891d-09c5-4d98-98de-6ae7916110fa","1","2013-01-08 16:39:15","1","2013-01-18 16:46:59","0",,,
"4","SEGUIMENTO CCR","Visita de seguimento no serviço de CCR","396c0cd8-0b77-425c-a4b9-bb4da976ebcb","1","2013-01-10 09:56:35","1","2013-01-18 16:46:59","0",,,
"5","PRIMEIRO SEGUIMENTO S.TARV","Primeira visita de seguimento no servico TARV","64a510a1-fbf4-465f-acd2-cd37bc321cee","1","2013-01-08 16:38:18","1","2013-01-18 16:46:59","0",,,
"6","INTERNAMENTO","Visita na qual o paciente é internado na unidade sanitária","744ebe99-c086-4b2c-bfbb-a68ed4741e49","1","2013-01-10 11:25:40","1","2013-01-18 16:46:59","0",,,
"7","LABORATORIO","Visita de laboratorio","b3114b6e-7c8e-4c2d-89d5-d45b368d0625","1","2013-01-08 16:41:41","1","2013-01-18 16:46:59","0",,,
"8","LEVANTAMENTO DE ARV","Visita para levantamento de ARV","b5e7993c-7429-4c63-bb82-a66cd15553b0","1","2013-01-08 16:39:42","1","2013-01-18 16:46:59","0",,,
"9","ABERTURA PROCESSO PTV","Visita de abertura do processo no serviço de PTV","c066031d-338c-4573-9f3a-2f774caebd52","1","2013-01-10 09:52:42","1","2013-01-18 16:46:59","0",,,
"10","ACONSELHAMENTO","Visita de aconselhamento","c607f451-92a9-45bf-b418-5288645a335d","1","2013-01-08 16:40:33","1","2013-01-18 16:46:59","0",,,
"11","ABERTURA DE PROCESSO CCR","Visita de abertura de processo no serviço de CCR","cbcb03a4-b90a-4351-93ee-4b118ed4f6c3","1","2013-01-10 09:55:53","1","2013-01-18 16:46:59","0",,,
"12","ABERTURA PROCESSO S. TARV","Visita inicial de abertura de processo clinico no serviço TARV","ceae3031-b8a7-47dc-9d4a-700d73dda335","1","2013-01-08 16:37:31","1","2013-01-18 16:46:59","0",,,
"13","SEGUIMENTO TB","Visita de seguimento no serviço de TB","d9911494-b231-4b3c-9246-1fe5f269476c","1","2013-01-10 09:54:36","1","2013-01-18 16:46:59","0",,,
"14","LIVRO DE REGISTO TARV","Livro de registo TARV e PRE-TARV","1cfb7589-c648-45d3-b524-3e8bff50a3c1","1","2013-03-01 09:45:41","1",,"0",,,
"15","VISITA DOMICILIARIA","Visita domiciliaria","85b891bf-4ef9-4c08-9c1e-b92c5bd441b0","1","2013-03-25 09:43:16","1",,"0",,,
